User1,User2,Similarity
242906,290377,1.0
241273,296245,1.0
234484,288715,1.0
198214,275979,1.0
159358,275979,1.0
159358,198214,1.0
156055,185515,1.0
137812,181530,1.0
136037,147443,1.0
134061,263838,1.0
128796,326410,1.0
122890,290377,1.0
122890,242906,1.0
120345,234616,1.0
119099,194288,1.0
117141,168141,1.0
106707,290377,1.0
106707,242906,1.0
106707,122890,1.0
84354,99176,1.0
83880,261244,1.0
77647,294432,1.0
76755,103216,1.0
63309,168141,1.0
63309,117141,1.0
59869,168141,1.0
59869,117141,1.0
59869,63309,1.0
50336,134345,1.0
49647,168141,1.0
49647,117141,1.0
49647,63309,1.0
49647,59869,1.0
41012,300048,1.0
39534,112294,1.0
38929,322547,1.0
31165,326363,1.0
30254,292994,1.0
26617,147443,1.0
26617,136037,1.0
25084,294432,1.0
25084,77647,1.0
15401,150090,1.0
9890,134345,1.0
9890,50336,1.0
637,263838,1.0
637,134061,1.0
290377,304728,0.96875
288715,305533,0.96875
269123,282222,0.96875
263838,288715,0.96875
260734,262614,0.96875
259490,315961,0.96875
258164,275979,0.96875
242906,304728,0.96875
242889,271504,0.96875
237157,279138,0.96875
234616,243179,0.96875
234484,305533,0.96875
234484,263838,0.96875
231719,316881,0.96875
228833,316881,0.96875
216913,310906,0.96875
210528,242505,0.96875
209048,214863,0.96875
203728,275979,0.96875
202171,275979,0.96875
202171,252658,0.96875
199801,275979,0.96875
199801,203728,0.96875
198820,305533,0.96875
198820,263838,0.96875
198214,258164,0.96875
198214,203728,0.96875
198214,202171,0.96875
198214,199801,0.96875
191016,211919,0.96875
190062,247426,0.96875
179124,321934,0.96875
170549,315836,0.96875
168141,263838,0.96875
167541,173768,0.96875
159358,258164,0.96875
159358,203728,0.96875
159358,202171,0.96875
159358,199801,0.96875
155235,194527,0.96875
154696,198820,0.96875
150090,290377,0.96875
150090,242906,0.96875
150090,163697,0.96875
147443,202171,0.96875
140841,242505,0.96875
140841,175573,0.96875
136037,202171,0.96875
134345,290377,0.96875
134345,242906,0.96875
134061,288715,0.96875
134061,234484,0.96875
134061,198820,0.96875
